adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
Não adaptativo,easy,0.5,OCSVM,40,False,0.5,GenFirst,0.6444124178749464,0.1549724417971835,0.4082095977023513,0.4550445947666283,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.5,OCSVM,40,False,0.5,ImpFirst,0.6444124178749464,0.1549724417971835,0.4082095977023513,0.4550445947666283,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.7,OCSVM,40,False,0.5,Random,0.646394277243215,0.15470076938303012,0.4042458789658143,0.4554722931643155,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.7,OCSVM,40,False,0.5,GenFirst,0.646394277243215,0.15470076938303012,0.4042458789658143,0.4554722931643155,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.7,OCSVM,40,False,0.5,ImpFirst,0.646394277243215,0.15470076938303012,0.4042458789658143,0.4554722931643155,0.3029655665477557,0.3032192603119776
Não adaptativo,strong,0.3,OCSVM,40,False,0.5,Random,0.6316164455959141,0.12591834026862178,0.35288065843621397,0.4521619568603231,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.3,OCSVM,40,False,0.5,GenFirst,0.6316164455959141,0.12591834026862178,0.35288065843621397,0.4521619568603231,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.3,OCSVM,40,False,0.5,ImpFirst,0.6316164455959141,0.12591834026862178,0.35288065843621397,0.4521619568603231,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.5,OCSVM,40,False,0.5,Random,0.6380307745796876,0.1252191087936088,0.3400520004686672,0.4555631562262041,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.5,OCSVM,40,False,0.5,GenFirst,0.6380307745796876,0.1252191087936088,0.3400520004686672,0.4555631562262041,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.5,OCSVM,40,False,0.5,ImpFirst,0.6380307745796876,0.1252191087936088,0.3400520004686672,0.4555631562262041,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.7,OCSVM,40,False,0.5,Random,0.6385192704366298,0.1257426082234597,0.3390750087547829,0.4552404590213426,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.7,OCSVM,40,False,0.5,GenFirst,0.6385192704366298,0.1257426082234597,0.3390750087547829,0.4552404590213426,0.3838864503719576,0.30888809250905663
Não adaptativo,strong,0.7,OCSVM,40,False,0.5,ImpFirst,0.6385192704366298,0.1257426082234597,0.3390750087547829,0.4552404590213426,0.3838864503719576,0.30888809250905663
Não adaptativo,logical,0.3,OCSVM,40,False,0.5,Random,0.6326419079612015,0.1181539682360324,0.2620563271604939,0.4325303278996941,0.4726598569171032,0.3296572897108976
Não adaptativo,logical,0.3,OCSVM,40,False,0.5,GenFirst,0.6326419079612015,0.1181539682360324,0.2620563271604939,0.4325303278996941,0.4726598569171032,0.3296572897108976
Não adaptativo,logical,0.3,OCSVM,40,False,0.5,ImpFirst,0.6326419079612015,0.1181539682360324,0.2620563271604939,0.4325303278996941,0.4726598569171032,0.3296572897108976
Não adaptativo,logical,0.5,OCSVM,40,False,0.5,Random,0.6308781553256191,0.11828663330643588,0.26558383243165856,0.4304786264776652,0.4726598569171032,0.3296572897108976
