,adaptive,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
56,GrowingWindow,0.3,,Euclidian,40,False,0.0,ImpFirst,0.6899612896062198,0.16881128222930394,0.4883113532494338,0.3395491258673264,0.13176606753812636,0.0720225549780551
57,GrowingWindow,0.3,,Euclidian,40,False,0.5,Random,0.6653669173676914,0.12964338979794343,0.5393042916262729,0.27736597778463756,0.12996187363834422,0.0830893126509602
58,GrowingWindow,0.3,,Euclidian,40,False,0.5,GenFirst,0.680112165347266,0.13990191763562843,0.5145210396758384,0.29552558920578975,0.12525462962962963,0.06729478851916651
59,GrowingWindow,0.3,,Euclidian,40,False,0.5,ImpFirst,0.7019427049129061,0.1305546683827796,0.4630672045532726,0.2713492797186814,0.13304738562091503,0.09354203679678558
60,GrowingWindow,0.3,,Euclidian,40,False,1.0,Random,0.6477796462152111,0.1616650922066863,0.5742133110554163,0.33836111965053167,0.1302273965141612,0.0750356424254812
61,GrowingWindow,0.3,,Euclidian,40,False,1.0,GenFirst,0.6461517969761003,0.17060238136779826,0.5714818090979081,0.35591669603299375,0.13621459694989108,0.0881770021313188
62,GrowingWindow,0.3,,Euclidian,40,False,1.0,ImpFirst,0.7106548247289348,0.16902392501799288,0.4491546751608671,0.3401264493918309,0.12953567538126362,0.07080655169696434
63,GrowingWindow,0.3,,Euclidian,40,True,0.0,Random,0.5040136953904368,0.020398847877488618,0.004729962160302717,0.06301038776902129,0.9872426470588235,0.0808288175099197
64,GrowingWindow,0.3,,Euclidian,40,True,0.0,GenFirst,0.5064767156862745,0.04739461099606352,0.0,0.0,0.9870465686274509,0.09478922199212705
65,GrowingWindow,0.3,,Euclidian,40,True,0.0,ImpFirst,0.5021918716316937,0.012287213327268863,0.004672629285632382,0.06575890153848907,0.9909436274509803,0.06418511073280762
66,GrowingWindow,0.3,,Euclidian,40,True,0.5,Random,0.507156862745098,0.0415963831968549,0.0,0.0,0.985686274509804,0.0831927663937098
67,GrowingWindow,0.3,,Euclidian,40,True,0.5,GenFirst,0.5062516483201467,0.03885295508555559,0.00031533081068684784,0.004492772484133845,0.9871813725490196,0.07838338375635807
68,GrowingWindow,0.3,,Euclidian,40,True,0.5,ImpFirst,0.5045671367962389,0.03233772611343232,0.00968925581928678,0.09737581584505392,0.9811764705882353,0.11648718996850659
69,GrowingWindow,0.3,,Euclidian,40,True,1.0,Random,0.5071976765852539,0.04894934791838865,2.8666437335167985e-05,0.0004084338621939857,0.9855759803921569,0.09796460626124716
70,GrowingWindow,0.3,,Euclidian,40,True,1.0,GenFirst,0.5101459479990827,0.04911496284862956,0.004156633413599358,0.04921093914909626,0.9755514705882352,0.12034660339543347
71,GrowingWindow,0.3,,Euclidian,40,True,1.0,ImpFirst,0.5102571379428964,0.05540947721870953,0.0001719986240110079,0.0020806383799591853,0.9793137254901961,0.11136802885400551
72,GrowingWindow,0.5,,Euclidian,40,False,0.0,Random,0.609562908496732,0.14193424884329994,0.6515264161220043,0.29945855770874436,0.1293477668845316,0.07423646149581671
73,GrowingWindow,0.5,,Euclidian,40,False,0.0,GenFirst,0.6071881808278866,0.14161681653722727,0.6604534313725491,0.3035233279498396,0.12517020697167758,0.0691750778162154
74,GrowingWindow,0.5,,Euclidian,40,False,0.0,ImpFirst,0.6960566448801743,0.1627681624344116,0.47859885620915027,0.33049944748804727,0.12928785403050108,0.08084675265094957
75,GrowingWindow,0.5,,Euclidian,40,False,0.5,Random,0.6386192810457516,0.12131289097522595,0.5919621459694989,0.2591807135031762,0.13079929193899786,0.07858501865012414
76,GrowingWindow,0.5,,Euclidian,40,False,0.5,GenFirst,0.6336124727668845,0.12648550108590692,0.6056100217864925,0.2734518147128754,0.12716503267973855,0.07479398941796789
77,GrowingWindow,0.5,,Euclidian,40,False,0.5,ImpFirst,0.7002941176470587,0.13428440005876624,0.47043164488017436,0.2780581716681794,0.12898011982570806,0.0756343528217094
78,GrowingWindow,0.5,,Euclidian,40,False,1.0,Random,0.62703227124183,0.1556066291483446,0.6170138888888889,0.31872757149437325,0.128921568627451,0.07260740562633936
79,GrowingWindow,0.5,,Euclidian,40,False,1.0,GenFirst,0.6119566993464053,0.15507385784514247,0.6475367647058823,0.3227734674560468,0.12854983660130717,0.07394004863505549
80,GrowingWindow,0.5,,Euclidian,40,False,1.0,ImpFirst,0.7183469498910674,0.1657669210806629,0.4343110021786493,0.33532980485407066,0.1289950980392157,0.07247326847273822
81,GrowingWindow,0.5,,Euclidian,40,True,0.0,Random,0.5066979847494554,0.03277596838077799,0.005245098039215686,0.05514131778395555,0.9813589324618736,0.0923095516551309
82,GrowingWindow,0.5,,Euclidian,40,True,0.0,GenFirst,0.5082598039215687,0.04678566875595502,0.0009068627450980392,0.012746535552415965,0.9825735294117647,0.09911647429049596
83,GrowingWindow,0.5,,Euclidian,40,True,0.0,ImpFirst,0.5050857843137255,0.035979918403276294,0.0073406862745098046,0.07610343748851457,0.9824877450980392,0.11543515749160434
84,GrowingWindow,0.5,,Euclidian,40,True,0.5,Random,0.5047869008714597,0.02838809833112317,0.0002818627450980392,0.004015925950022367,0.9901443355119826,0.05760925269533515
85,GrowingWindow,0.5,,Euclidian,40,True,0.5,GenFirst,0.5052634803921568,0.0389833203666445,0.0066789215686274515,0.05674887574954229,0.9827941176470588,0.11321791310455631
