adaptive,base,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.0,Random,0.44691516884531596,0.15448840177308815,0.3348420479302832,0.34240809967089136,0.771327614379085,0.26511313106891427
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.0,GenFirst,0.4546772875816994,0.13496538633783686,0.3183455882352941,0.3463647935153093,0.7722998366013073,0.26590716770234923
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.0,ImpFirst,0.3688698257080611,0.1388932693198328,0.518526688453159,0.4048742417240432,0.743733660130719,0.26546945696100677
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.5,Random,0.44088507625272333,0.12178790930146366,0.30913262527233115,0.3172828982966844,0.8090972222222222,0.24252231597320537
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.5,GenFirst,0.45267497276688456,0.1155343437048653,0.31387935729847494,0.32874049402096606,0.780770697167756,0.262750247878708
GrowingWindow,CMU,0.5,,OCSVM,40,True,0.5,ImpFirst,0.39286220043572984,0.12876699777228007,0.44164624183006534,0.4073208197516251,0.7726293572984749,0.2653395617803695
GrowingWindow,CMU,0.5,,OCSVM,40,True,1.0,Random,0.4182203159041394,0.15704705592319687,0.414177559912854,0.3722918723684625,0.749381808278867,0.27049808843678097
GrowingWindow,CMU,0.5,,OCSVM,40,True,1.0,GenFirst,0.448980119825708,0.14177033550283524,0.34804602396514167,0.36528848383863066,0.7539937363834422,0.2767315919394623
GrowingWindow,CMU,0.5,,OCSVM,40,True,1.0,ImpFirst,0.3665829248366013,0.14750992514883066,0.49761846405228755,0.43041809418267224,0.7692156862745099,0.26436600290189405
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.0,Random,0.39326643330271865,0.14082048230981808,0.41265422489783044,0.3431856010307809,0.800812908496732,0.24299518538860337
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.0,GenFirst,0.4292034143080817,0.11998409270642424,0.36102944589364044,0.3190287785636787,0.7805637254901961,0.2518457372099568
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.0,ImpFirst,0.34862075532700904,0.14025517730801634,0.5554409512196203,0.4048027056623701,0.7473175381263617,0.27402966668416806
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.5,Random,0.4222468807192319,0.12344281773443157,0.36628919063125304,0.3255345590372913,0.7892170479302834,0.24990339023017547
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.5,GenFirst,0.4499603980994304,0.11864706926299604,0.3222033868076752,0.3218501223744821,0.7778758169934641,0.26356187927735397
GrowingWindow,CMU,0.7,,OCSVM,40,False,0.5,ImpFirst,0.3712804241682378,0.12951038538454213,0.4978844131014329,0.4012424211801498,0.7595547385620914,0.2655656971608556
GrowingWindow,CMU,0.7,,OCSVM,40,False,1.0,Random,0.4222529268426312,0.12128871832488647,0.3775080352036265,0.3368521874352465,0.7779861111111112,0.26638977648393297
GrowingWindow,CMU,0.7,,OCSVM,40,False,1.0,GenFirst,0.43881652395480475,0.1157963527305949,0.3347484880381028,0.30872864034919295,0.7876184640522876,0.2616394031465912
GrowingWindow,CMU,0.7,,OCSVM,40,False,1.0,ImpFirst,0.3716900244494468,0.12789891097675374,0.49260170491374244,0.4145951832191468,0.7640182461873639,0.27187042703091274
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.0,Random,0.4038633204617779,0.13993261811989055,0.4201001564620652,0.3471074384756917,0.7721732026143789,0.2686289413432887
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.0,GenFirst,0.4206926630601797,0.12668993742837545,0.39423014228922665,0.33923569842216555,0.7643845315904138,0.27064359346429245
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.0,ImpFirst,0.3589519416440349,0.1389892119653049,0.524197151570318,0.41902346582841843,0.7578989651416121,0.2702209462349099
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.5,Random,0.4323318860556822,0.11911645441193307,0.3489909119844962,0.32561038877911025,0.7863453159041396,0.26280274194631376
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.5,GenFirst,0.44810084859685745,0.11515333058822638,0.34572640738144855,0.3206587655003124,0.7580718954248366,0.2687962981449101
GrowingWindow,CMU,0.7,,OCSVM,40,True,0.5,ImpFirst,0.37524908654532946,0.12811687946573364,0.4918833628570535,0.40872273658017516,0.7576184640522876,0.26661418945759313
GrowingWindow,CMU,0.7,,OCSVM,40,True,1.0,Random,0.423669611069,0.12004989805907929,0.38613572339576907,0.34152756494605857,0.7665250544662311,0.27418954413686664
GrowingWindow,CMU,0.7,,OCSVM,40,True,1.0,GenFirst,0.4321721640667265,0.12248790243060081,0.3573087219754794,0.31441174229053487,0.7783469498910675,0.2565653001949354
GrowingWindow,CMU,0.7,,OCSVM,40,True,1.0,ImpFirst,0.3493629913951834,0.13091087861673464,0.560165629410069,0.4128729340996798,0.7411083877995643,0.272312757262565
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.0,Random,0.4481190763785578,0.10764090132220627,0.35678880802719815,0.37811329827309653,0.7469730392156863,0.3316847376719174
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.0,GenFirst,0.46387112826257565,0.09890604872061202,0.3293451617755023,0.4144312786673623,0.7429125816993465,0.34048091006615716
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.0,ImpFirst,0.3893737765574066,0.15142823444040568,0.4800092551640539,0.41220303583415363,0.7412431917211328,0.3320029385735918
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.5,Random,0.44825644911074475,0.08010977020423103,0.3685483762883144,0.37432960281756356,0.7349387254901962,0.34331647696153117
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.5,GenFirst,0.46035176976159947,0.08707244682076577,0.3072403602589361,0.3832682289319161,0.772056100217865,0.3199675225302792
SlidingWindow,CMU,0.3,,OCSVM,40,False,0.5,ImpFirst,0.4040703567445053,0.14139320927007357,0.4579649509990067,0.3913241325732966,0.7338943355119826,0.34640374771884375
SlidingWindow,CMU,0.3,,OCSVM,40,False,1.0,Random,0.42869799508054146,0.12287768283324091,0.3882072233465422,0.40389076798654105,0.7543967864923747,0.3299634527600115
SlidingWindow,CMU,0.3,,OCSVM,40,False,1.0,GenFirst,0.45155179289950964,0.11275082248513787,0.35130681725108975,0.4228902445705989,0.7455895969498911,0.3360613990858851
SlidingWindow,CMU,0.3,,OCSVM,40,False,1.0,ImpFirst,0.37221522872838664,0.15468976666595105,0.48073838785913087,0.42351677766315,0.7748311546840958,0.30685483849866874
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.0,Random,0.45066124070574537,0.10208347606710899,0.3450418976734766,0.3854067341949074,0.7536356209150327,0.3347658411877465
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.0,GenFirst,0.4648783696094067,0.10341718387912448,0.3244780102365241,0.4094046540125725,0.7457652505446624,0.3369865149299985
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.0,ImpFirst,0.40076348774491194,0.15787783885459208,0.42146866721170123,0.40393543217580324,0.7770043572984751,0.32037119553455834
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.5,Random,0.44283316915282867,0.08827866423767769,0.329622332718308,0.3555537677482751,0.7847113289760349,0.3094734471393933
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.5,GenFirst,0.46034264024589105,0.08722314854580171,0.3136774646062572,0.39289678634735714,0.7656372549019608,0.3228771248970184
SlidingWindow,CMU,0.3,,OCSVM,40,True,0.5,ImpFirst,0.3941344550845325,0.14123330637941273,0.4512000440793011,0.390635833340151,0.7605310457516339,0.3252779268574019
SlidingWindow,CMU,0.3,,OCSVM,40,True,1.0,Random,0.4351260820649366,0.11197061930386,0.381234763974702,0.39137618081482284,0.7485130718954248,0.33419323577511284
SlidingWindow,CMU,0.3,,OCSVM,40,True,1.0,GenFirst,0.44994824591186816,0.11768355756001157,0.31828978268606756,0.40969419399574486,0.7818137254901961,0.3190554873800123
SlidingWindow,CMU,0.3,,OCSVM,40,True,1.0,ImpFirst,0.3906704218768847,0.15462858094132956,0.4664600821721565,0.4309738348344947,0.7521990740740742,0.3385687550378955
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.0,Random,0.44242647058823525,0.10887187764133642,0.33850081699346407,0.36828999954898384,0.7766462418300654,0.3165771657008361
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.0,GenFirst,0.4651879084967321,0.10486761736416188,0.2725885076252723,0.3811986034745489,0.7970356753812635,0.3012811664279933
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.0,ImpFirst,0.3891523692810457,0.15297419255481,0.44694989106753813,0.4132349813153872,0.7747453703703704,0.3177747840154691
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.5,Random,0.44707175925925924,0.09177593609479508,0.3533129084967321,0.3656917422728254,0.7525435729847494,0.3403084714383689
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.5,GenFirst,0.45961941721132893,0.09593908414029957,0.3034858387799564,0.3738522207710505,0.7772753267973856,0.3060275367559084
SlidingWindow,CMU,0.5,,OCSVM,40,False,0.5,ImpFirst,0.37565767973856207,0.148677570410401,0.4693191721132898,0.39821518054453225,0.779365468409586,0.3141264365593924
SlidingWindow,CMU,0.5,,OCSVM,40,False,1.0,Random,0.4318947440087146,0.11857238723899495,0.39825708061002174,0.3891367035595897,0.737953431372549,0.33699927857895406
SlidingWindow,CMU,0.5,,OCSVM,40,False,1.0,GenFirst,0.454572440087146,0.10939075159993031,0.33736383442265794,0.41498422991297096,0.7534912854030502,0.33386908087662404
SlidingWindow,CMU,0.5,,OCSVM,40,False,1.0,ImpFirst,0.3541734749455338,0.16639021232375803,0.5425789760348584,0.4237634844664453,0.749074074074074,0.3190520853021354
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.0,Random,0.44940631808278864,0.10284200882750963,0.31690631808278863,0.3664305239524556,0.784281045751634,0.3138783987897114
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.0,GenFirst,0.46460716230936816,0.09681523952802117,0.35091094771241826,0.42200287016626087,0.7198747276688452,0.3510244664236041
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.0,ImpFirst,0.3878308823529412,0.14933810893547753,0.4459872004357298,0.4207922130979885,0.7783510348583877,0.31623728567776216
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.5,Random,0.45084694989106755,0.08912438700835353,0.3204752178649238,0.3553223454871311,0.7778308823529412,0.3278612813809805
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.5,GenFirst,0.4650871459694989,0.08485829620675164,0.33628267973856213,0.40271649117556985,0.7335430283224401,0.3465581666074863
SlidingWindow,CMU,0.5,,OCSVM,40,True,0.5,ImpFirst,0.3720622276688453,0.1466273101433622,0.4832815904139433,0.3969201334856211,0.772593954248366,0.320312626039418
SlidingWindow,CMU,0.5,,OCSVM,40,True,1.0,Random,0.42040509259259257,0.12986780401681544,0.43013480392156866,0.40287928203933515,0.7290550108932462,0.3389805377157788
SlidingWindow,CMU,0.5,,OCSVM,40,True,1.0,GenFirst,0.4647576252723312,0.10109818519069028,0.26242374727668843,0.37540332977337376,0.8080610021786492,0.2987510830692742
SlidingWindow,CMU,0.5,,OCSVM,40,True,1.0,ImpFirst,0.36910198801742916,0.16479761864169332,0.5267102396514162,0.42829013478038075,0.7350857843137254,0.34290858517702694
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.0,Random,0.4153953452619115,0.11450620647910163,0.4117283726570048,0.3808419060788012,0.7574809368191721,0.32015004307102135
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.0,GenFirst,0.4476537792203901,0.08993948747114754,0.3514585090973462,0.3900928014483428,0.7532339324618736,0.33448685149610236
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.0,ImpFirst,0.358479282048036,0.1560814754454135,0.537872590588024,0.408834319409927,0.745168845315904,0.34255837539671996
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.5,Random,0.4394929353068992,0.09626872803878787,0.3408684322184456,0.35290807404461594,0.7801456971677561,0.32182184675064845
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.5,GenFirst,0.4439574830192792,0.10368720912775993,0.3497225611945573,0.39459526387678256,0.7623624727668845,0.3217117351357386
SlidingWindow,CMU,0.7,,OCSVM,40,False,0.5,ImpFirst,0.3726068820252324,0.14977786435971363,0.5028431531608641,0.40481290872653053,0.7519430827886712,0.33788678950731926
SlidingWindow,CMU,0.7,,OCSVM,40,False,1.0,Random,0.42169466519916005,0.10082146470666262,0.408783872216059,0.37852211149748954,0.747826797385621,0.3356795017549595
SlidingWindow,CMU,0.7,,OCSVM,40,False,1.0,GenFirst,0.4474876484646225,0.0878044820953747,0.3312706181034347,0.386826157630174,0.7737540849673201,0.3243884245846241
SlidingWindow,CMU,0.7,,OCSVM,40,False,1.0,ImpFirst,0.3730238477036354,0.14614934851561806,0.461302522457653,0.4132425736281752,0.7926497821350762,0.3074926778987461
SlidingWindow,CMU,0.7,,OCSVM,40,True,0.0,Random,0.41669879758691275,0.11617482452668651,0.4177788754144098,0.3835605680898042,0.7488235294117647,0.3372783778309086
SlidingWindow,CMU,0.7,,OCSVM,40,True,0.0,GenFirst,0.44146997496860785,0.09971649942133348,0.36290427664230507,0.3878515012362714,0.7541557734204792,0.33025003942506587
SlidingWindow,CMU,0.7,,OCSVM,40,True,0.0,ImpFirst,0.35804975431508923,0.1595567615745692,0.5173590970343095,0.4106252095743862,0.7665413943355119,0.3257382278857753
